texture,perimeter,smoothness,concavity,symmetry,fractal dimension
0.6232,1.677,0.006708,0.01482,0.0158,0.001779
20.7,53.27,0.09405,0.1321,0.2222,0.08261
2.265,2.608,0.008738,0.04312,0.04192,0.005822
1.398,3.999,0.008268,0.05042,0.02102,0.003854
27.65,157.1,0.1517,0.4211,0.3003,0.1048
26.57,142.7,0.1141,0.2487,0.2395,0.07398
15.56,87.21,0.1398,0.2071,0.1925,0.07692
27.61,65.67,0.0903,0.05999,0.1593,0.06127
0.7869,4.585,0.00615,0.03832,0.0225,0.004571
16.68,98.78,0.08876,0.0755,0.1594,0.05986
31.72,170.3,0.1639,0.7681,0.544,0.09964
31.12,135.7,0.09469,0.1367,0.1769,0.05674
0.469,1.115,0.004731,0.01652,0.01619,0.002081
27.08,71.76,0.06883,0.01633,0.1869,0.05628
1.657,2.155,0.00854,0.02945,0.01565,0.00384
15.51,97.45,0.08371,0.06505,0.1881,0.05907
22.07,108.1,0.1512,0.3209,0.3068,0.07957
36.91,110.1,0.1148,0.1547,0.3233,0.06165
2.261,3.132,0.01286,0.1197,0.0388,0.01792
31.99,92.74,0.1256,0.123,0.31,0.08203
28.87,143.6,0.1207,0.5165,0.2301,0.1224
25.42,112.4,0.08331,0.1204,0.1467,0.05407
0.4801,1.373,0.003828,0.007078,0.01054,0.001697
13.1,54.53,0.1036,0.02565,0.1678,0.07126
22.07,111.6,0.09726,0.09061,0.1867,0.0558
24.99,95.81,0.08837,0.1009,0.1872,0.06341
17.7,79.12,0.1121,0.1648,0.1811,0.07427
26.93,104.4,0.146,0.4636,0.363,0.1059
18.82,128.1,0.1089,0.2256,0.1823,0.06115
24.75,99.17,0.1264,0.1377,0.2249,0.08492
32.09,136.1,0.1634,0.5588,0.353,0.08482
30.73,106.2,0.1703,0.539,0.4378,0.1072
31.62,81.39,0.09545,0.07239,0.3244,0.06745
23.19,96.66,0.1536,0.4858,0.3527,0.1016
21.03,97.82,0.1175,0.4896,0.3231,0.1034
34.23,91.29,0.1289,0.139,0.2444,0.06788
1.15,1.4,0.004942,0.007508,0.01442,0.001684
1.474,7.382,0.008166,0.0573,0.01065,0.005893
1.389,2.347,0.006418,0.07927,0.01878,0.003696
19.51,109.8,0.1026,0.2236,0.2151,0.06578
2.454,10.12,0.01236,0.08232,0.02337,0.006042
26.51,76.43,0.1428,0.2123,0.2289,0.08278
24.82,91.88,0.1289,0.1731,0.2779,0.07918
24.56,128.8,0.15,0.2829,0.265,0.06387
29.02,133.5,0.1563,0.5409,0.4863,0.08633
35.64,113.2,0.1471,0.3796,0.347,0.079
21.77,71.12,0.1285,0.04384,0.2681,0.07399
1.595,5.772,0.006522,0.07117,0.02324,0.006185
1.031,1.281,0.005296,0.01723,0.0188,0.001941
1.249,2.284,0.006739,0.02086,0.0187,0.003747
14.26,102.5,0.1073,0.2077,0.2521,0.07032
26.55,80.92,0.1223,0.07915,0.3487,0.06958
24.44,76.37,0.1236,0.04515,0.2131,0.07405
22.15,96.42,0.1049,0.2135,0.1949,0.07292
0.8155,1.972,0.005217,0.01678,0.01669,0.00233
21.56,129.7,0.09383,0.1272,0.2094,0.05581
15.77,86.92,0.1521,0.1622,0.2781,0.08052
16.94,95.48,0.09023,0.01379,0.2267,0.06192
33.82,151.6,0.1585,0.6566,0.3313,0.1339
0.5308,1.592,0.004271,0.02828,0.01461,0.002613
1.961,2.937,0.009538,0.06019,0.02105,0.006
37.17,92.48,0.1072,0.1062,0.2473,0.06443
0.9823,1.484,0.005518,0.01994,0.01799,0.002484
15.73,104.5,0.1126,0.1362,0.2487,0.06766
15.66,89.59,0.07966,0.02087,0.1589,0.05586
1.539,2.028,0.005498,0.01795,0.01829,0.001956
28.45,123.5,0.1415,0.5862,0.3054,0.09519
1.239,1.806,0.006547,0.02018,0.01671,0.00236
28,113.1,0.153,0.3664,0.3739,0.1027
1.35,1.314,0.005768,0.0151,0.01347,0.001828
15.68,63,0.09492,0.0233,0.1387,0.06891
27.83,129.2,0.1072,0.2249,0.4882,0.06111
0.8836,2.109,0.007337,0.005383,0.0194,0.00118
19.13,89.46,0.09057,0.09657,0.1848,0.06181
17.45,69.86,0.1275,0.02168,0.3557,0.0802
23.86,134.7,0.108,0.2283,0.2249,0.07469
17.33,184.6,0.1622,0.7119,0.4601,0.1189
0.5503,2.547,0.004821,0.02408,0.01275,0.002451
0.948,2.171,0.005332,0.01536,0.01522,0.002815
22.75,72.62,0.13,0.1295,0.2383,0.09026
16.7,82.51,0.1125,0.0388,0.212,0.06623
23.08,85.56,0.1038,0.005579,0.2505,0.06431
18.33,105.9,0.1386,0.196,0.259,0.07779
1.166,1.567,0.004957,0.04156,0.01843,0.003614
16.58,65.85,0.08877,0.04358,0.1669,0.06714
16.18,78.27,0.1358,0.1275,0.2733,0.08022
19.02,77.88,0.08313,0.007756,0.1539,0.05945
26.5,98.87,0.2098,0.6869,0.6638,0.173
20.04,79.47,0.1096,0.08175,0.2124,0.06894
1.268,2.68,0.01439,0.001597,0.02538,0.00347
20.96,88.87,0.1068,0.03469,0.2165,0.06025
26,124.9,0.1546,0.3791,0.2837,0.08019
18.89,88.1,0.1059,0.0858,0.1806,0.06079
26.76,82.66,0.1413,0.07708,0.2584,0.08096
28.48,103.9,0.1216,0.17,0.2369,0.06599
0.6336,6.971,0.009406,0.04344,0.03156,0.003362
2.463,5.203,0.005769,0.0395,0.01898,0.002498
27.15,111.2,0.09898,0.1007,0.1793,0.06281
1.465,5.801,0.006766,0.06591,0.01673,0.0113
20.78,83.51,0.1135,0.03136,0.254,0.06087
0.9671,0.968,0.005883,0.009398,0.02009,0.002377
16.93,94.17,0.117,0.03732,0.2823,0.06794
14.36,87.46,0.09779,0.06664,0.1885,0.05766
0.685,1.236,0.005969,0.01564,0.01093,0.001672
25.75,84.35,0.1369,0.1316,0.3101,0.07007
31.37,251.2,0.1357,0.6833,0.2641,0.07427
1.01,1.491,0.008577,0.02099,0.02434,0.001217
19.83,71.3,0.08511,0.005067,0.1637,0.06343
0.8163,1.973,0.006773,0.01018,0.02662,0.004143
1.428,1.822,0.008064,0.02595,0.01357,0.00304
0.9591,2.183,0.008328,0.01349,0.03218,0.002386
0.7285,1.171,0.005528,0.008342,0.01465,0.00253
1.108,1.902,0.007356,0.05915,0.02165,0.004784
1.166,1.683,0.003741,0.01065,0.01344,0.001126
20.83,79.73,0.1095,0.1553,0.3202,0.07287
19.62,64.48,0.1724,0.2456,0.2926,0.1017
1.306,18.65,0.00765,0.08055,0.01697,0.004558
20.18,76.1,0.1089,0.06843,0.1993,0.06453
1.217,1.893,0.00508,0.007276,0.0135,0.001706
22.29,90.63,0.12,0.1385,0.1834,0.06877
18.45,73.28,0.09345,0.02638,0.1834,0.05934
26.2,142.2,0.1492,0.3759,0.3074,0.07863
14.96,77.23,0.1158,0.01171,0.2459,0.06581
15.5,73.38,0.08365,0.1007,0.181,0.07252
18.15,130.7,0.112,0.2508,0.2027,0.06082
19.94,62.11,0.1024,0.006829,0.135,0.0689
18.22,84.28,0.07466,0.04859,0.1454,0.05549
15.6,87.38,0.09423,0.04705,0.1717,0.0566
21.47,71.68,0.1467,0.13,0.2533,0.08468
20.52,77.22,0.08013,0.02383,0.1739,0.05677
17.58,101.7,0.1139,0.1101,0.2334,0.06142
34.01,111.6,0.1737,0.3809,0.308,0.09333
36.92,68.03,0.111,0.0719,0.2321,0.07211
29.29,74.87,0.09357,0.0716,0.1799,0.06166
11.79,54.34,0.09752,0.02061,0.1683,0.07187
26.58,165.9,0.1193,0.2687,0.2551,0.06589
17.27,103.2,0.1335,0.2448,0.2398,0.07596
0.7636,1.231,0.008725,0.02335,0.02625,0.004726
0.7747,3.123,0.007159,0.06165,0.01591,0.005099
17.05,91.43,0.1096,0.09789,0.1908,0.0613
23.97,81.35,0.07903,0.05438,0.1514,0.06019
24.98,88.05,0.09488,0.08625,0.1609,0.05871
1.503,1.667,0.007389,0.007302,0.01263,0.002925
17.52,121.3,0.1012,0.1491,0.1832,0.06697
23.39,85.1,0.1137,0.0612,0.1978,0.06915
20.21,99.16,0.1105,0.1346,0.3323,0.07701
23.09,66.85,0.1015,0.02495,0.1695,0.06556
26.34,98,0.09368,0.1359,0.2663,0.06321
28.18,83.51,0.09457,0.3218,0.2305,0.09952
28.23,76.77,0.08437,0.04055,0.1615,0.06104
2.129,6.076,0.006455,0.04502,0.01829,0.003733
16.93,103.1,0.1347,0.1373,0.2606,0.0781
0.7655,1.742,0.006905,0.01978,0.01897,0.001671
19.54,133.8,0.1133,0.2133,0.1724,0.06053
1.563,1.035,0.008875,0.01808,0.01791,0.003317
2.643,4.099,0.007517,0.01465,0.02047,0.003883
16.16,88.37,0.07026,0.02045,0.1607,0.05474
1.424,2.747,0.01385,0.02722,0.03281,0.004638
25.26,105.8,0.09445,0.1565,0.2636,0.07676
29.26,85.51,0.1688,0.2873,0.2806,0.09097
27.27,105.9,0.1026,0.3662,0.2258,0.08004
25.25,84.1,0.08791,0.02772,0.1619,0.05584
2.067,2.493,0.01193,0.03,0.03357,0.003048
1.647,1.489,0.004359,0.003223,0.01916,0.002534
30.38,129.8,0.159,0.3597,0.3103,0.082
0.679,2.153,0.005532,0.03055,0.01177,0.002336
30.88,186.8,0.1512,0.5372,0.2768,0.07615
32.84,84.58,0.1123,0.1145,0.2694,0.06878
0.9168,4.218,0.006208,0.02375,0.01445,0.001906
0.6656,1.67,0.008045,0.01683,0.01924,0.002248
25.41,138.1,0.1482,0.3301,0.306,0.08503
1.743,3.018,0.009519,0.0199,0.02079,0.002701
18.34,114.1,0.1312,0.3219,0.2827,0.09208
22.25,82.74,0.1013,0.007732,0.2171,0.07037
26.02,107.3,0.161,0.503,0.2807,0.1071
34.01,160.5,0.1491,0.6133,0.3444,0.09782
0.8561,1.495,0.004599,0.009127,0.01247,0.001708
0.9951,2.903,0.005654,0.03059,0.01623,0.001965
17.19,74.68,0.09774,0.03809,0.1516,0.06095
0.7656,1.303,0.006709,0.0208,0.02124,0.002768
25.34,96.42,0.1066,0.0846,0.2523,0.06609
0.9112,1.727,0.005356,0.01971,0.01414,0.001892
1.022,2.972,0.005635,0.06072,0.03197,0.004085
1.555,1.359,0.005391,0.01163,0.01341,0.001659
1.492,2.888,0.007256,0.02071,0.0208,0.005304
21.28,63.19,0.08117,0.00247,0.163,0.06439
20.54,102.3,0.1218,0.122,0.2525,0.06827
15.69,92.68,0.07618,0.01447,0.1632,0.05255
24.68,116.1,0.1049,0.2159,0.1538,0.06365
19.71,84.48,0.1104,0.01938,0.1917,0.06174
1.377,3.856,0.008805,0.02488,0.01486,0.005412
1.966,1.959,0.01289,0.003297,0.04243,0.001963
0.6221,1.482,0.004796,0.01758,0.02254,0.001971
23.95,103.7,0.08401,0.09938,0.1847,0.05338
1.207,5.004,0.007234,0.1114,0.03232,0.009627
19.35,80.78,0.1332,0.3365,0.2581,0.108
11.28,102.8,0.1043,0.1191,0.1784,0.06259
13.9,59.96,0.1371,0.03332,0.2197,0.07696
1.332,1.513,0.005442,0.03304,0.01315,0.002464
25.05,62.86,0.1103,0.07993,0.2435,0.07393
1.408,3.631,0.005288,0.04256,0.01717,0.003211
18.33,75.17,0.1142,0.0707,0.1801,0.0652
20.7,89.77,0.09578,0.03688,0.162,0.06688
1.679,3.283,0.008109,0.04942,0.01594,0.003739
1.027,1.267,0.003478,0.01072,0.02941,0.003428
23.17,166.8,0.1562,0.4159,0.2689,0.07055
19.08,113.4,0.1141,0.191,0.2131,0.06325
27.49,85.56,0.1184,0.1937,0.2983,0.07185
19.29,67.41,0.09989,0.02995,0.2217,0.06481
18.41,84.08,0.1275,0.08636,0.2514,0.07898
21.6,74.72,0.08637,0.01657,0.1495,0.05888
1.265,2.668,0.005421,0.04545,0.01869,0.004067
21.54,76.83,0.06613,0.08777,0.1349,0.06612
18.77,97.84,0.08138,0.0905,0.1744,0.06493
31.56,177,0.1805,0.4695,0.3613,0.09564
32.16,84.53,0.1557,0.1755,0.2762,0.08851
17.76,109.8,0.1354,0.1947,0.23,0.0723
18.54,79.01,0.08477,0.02643,0.1602,0.06066
20.25,122.1,0.0944,0.149,0.1697,0.05699
23.81,92.87,0.09463,0.1115,0.2235,0.06433
1.617,7.749,0.004551,0.02143,0.01367,0.002299
16.84,61.64,0.08481,0.08422,0.2036,0.07125
26.98,86.43,0.1249,0.256,0.3035,0.08284
18.29,84.18,0.07351,0.04057,0.1874,0.05899
30.12,117.9,0.1552,0.4967,0.4753,0.1013
28.07,120.4,0.1243,0.2803,0.1603,0.06818
1.743,7.804,0.007964,0.07649,0.02736,0.005928
34.37,161.1,0.1498,0.4634,0.3679,0.0987
0.4125,1.338,0.005012,0.01551,0.01647,0.001767
25.99,87.82,0.1298,0.1255,0.2744,0.07238
21.82,97.17,0.1312,0.209,0.3549,0.08118
2.015,1.778,0.007803,0.0169,0.021,0.002778
1.073,3.833,0.005524,0.02706,0.01415,0.003397
20.88,68.09,0.1467,0.04043,0.2841,0.08175
1.885,8.649,0.01038,0.1091,0.07895,0.005987
21.8,101.2,0.09384,0.1384,0.2679,0.07698
18.16,84.16,0.146,0.1087,0.2765,0.07806
1.193,4.837,0.006458,0.02945,0.01852,0.002608
14.74,94.87,0.08875,0.04608,0.1521,0.05912
1.28,1.565,0.008426,0.001487,0.02358,0.001627
29.41,142.1,0.1681,0.5553,0.3187,0.1019
24.02,82.68,0.1342,0.186,0.321,0.07863
15.7,82.57,0.1278,0.1578,0.2087,0.07613
28.71,87.36,0.08799,0.2912,0.2191,0.09349
23.87,211.5,0.1199,0.3794,0.2908,0.07277
1.003,2.495,0.007509,0.01977,0.01805,0.003629
22.41,98.92,0.09057,0.05375,0.1727,0.06317
1.068,2.796,0.009006,0.03204,0.02353,0.004984
24.02,94.57,0.08974,0.03102,0.1685,0.05866
22.02,133.3,0.1263,0.429,0.2842,0.08225
1.152,1.559,0.00718,0.005832,0.01982,0.002754
2.2,2.487,0.007357,0.009959,0.03433,0.002961
31.86,171.1,0.1592,0.5344,0.5558,0.1024
1.281,2.45,0.006703,0.02315,0.019,0.003224
26.83,72.22,0.1559,0.2644,0.2622,0.0849
29.15,83.99,0.1699,0.312,0.2829,0.08832
24.57,163.1,0.1497,0.4317,0.3379,0.0895
1.909,3.271,0.00579,0.05303,0.03356,0.009368
1.216,4.206,0.006666,0.04062,0.01117,0.003727
2.664,4.073,0.01097,0.396,0.03546,0.02984
13.47,92.51,0.09906,0.05724,0.2075,0.05448
32.47,128,0.0842,0.1145,0.1428,0.05313
0.489,1.349,0.00451,0.01951,0.01934,0.003696
25.42,94.7,0.08275,0.04105,0.184,0.0568
18.9,76.66,0.08386,0.00751,0.1555,0.06048
25.23,160.5,0.1417,0.4185,0.2549,0.09136
1.627,2.914,0.008312,0.03389,0.0174,0.002871
28.65,152.4,0.1518,0.4316,0.359,0.07787
25.58,96.74,0.1153,0.05285,0.2362,0.07113
0.9567,1.094,0.008968,0.01588,0.02574,0.002582
1.35,1.721,0.006383,0.00186,0.02571,0.002015
19.33,126.5,0.1035,0.1379,0.1776,0.05647
26.87,90.14,0.1391,0.4779,0.254,0.09532
25.5,101.4,0.1147,0.366,0.2744,0.08839
0.6549,1.606,0.004837,0.009213,0.01171,0.002104
1.15,2.406,0.004626,0.01954,0.01547,0.00243
23.07,88.13,0.105,0.1904,0.2685,0.07764
20.92,82.14,0.114,0.0498,0.2227,0.07376
0.8355,1.687,0.005996,0.02117,0.02025,0.001725
29.46,73.68,0.1515,0.1181,0.2883,0.07748
1.268,3.717,0.008034,0.01514,0.02921,0.002005
16.58,78.99,0.1091,0.1659,0.2678,0.07371
0.6793,1.069,0.007897,0.01801,0.01592,0.003925
17.6,81.25,0.1073,0.269,0.2604,0.09879
16.39,86.1,0.07115,0.08092,0.1422,0.05823
27.1,86.2,0.1405,0.2806,0.3397,0.08365
21.46,94.25,0.09444,0.1204,0.2075,0.05636
0.4757,1.817,0.002866,0.01412,0.01069,0.001087
20.56,118.4,0.1001,0.117,0.2116,0.06077
25.73,148.2,0.1021,0.3207,0.2841,0.06541
0.7574,1.573,0.002838,0.0178,0.01329,0.001976
12.87,81.23,0.1092,0.08324,0.339,0.07434
24.62,71.11,0.1388,0.06409,0.3057,0.07875
1.805,1.377,0.01496,0.01453,0.03082,0.004785
1.214,3.357,0.004024,0.02291,0.05014,0.001902
28.92,79.26,0.1282,0.03582,0.2976,0.07123
27.29,92.2,0.1116,0.2365,0.2465,0.09981
0.3602,1.107,0.004124,0.01003,0.02032,0.001952
0.7732,3.18,0.004314,0.02254,0.01369,0.002179
0.4833,2.235,0.006432,0.007741,0.01227,0.002564
1.312,2.275,0.01098,0.01031,0.02693,0.002979
17.02,84.55,0.08445,0.03554,0.1496,0.05674
25.59,159.8,0.171,0.8489,0.2749,0.1297
26.86,81.15,0.1034,0.1085,0.1943,0.06937
0.9988,1.534,0.002826,0.01311,0.01013,0.001345
22.04,71.08,0.1461,0.1783,0.2691,0.09479
20.74,85.98,0.08675,0.1085,0.1562,0.0602
1.24,3.195,0.005718,0.01998,0.0141,0.002085
0.6205,1.957,0.004717,0.01759,0.0122,0.00313
0.4706,1.146,0.007394,0.0247,0.01344,0.002569
1.213,9.424,0.008198,0.04493,0.02018,0.005815
20.72,77.79,0.1076,0.09755,0.23,0.06769
0.6857,2.183,0.004185,0.02664,0.01703,0.003817
1.353,1.735,0.004455,0.02095,0.01641,0.001956
19.25,114.3,0.1223,0.1709,0.2723,0.07071
1.199,7.158,0.006356,0.03863,0.01936,0.005252
15.64,86.97,0.1385,0.1242,0.2827,0.06771
0.6633,4.293,0.006294,0.05554,0.02428,0.003535
33.75,79.82,0.09203,0.1089,0.2849,0.07087
16.47,81.6,0.1001,0.04116,0.2293,0.06037
39.16,162.3,0.1522,0.3788,0.3151,0.07999
20.25,102.6,0.1025,0.1147,0.1935,0.06303
19.89,80.43,0.08451,0.0683,0.1781,0.06249
32.01,108.8,0.1651,0.6943,0.3596,0.1431
17.4,93.96,0.1016,0.01824,0.2107,0.0658
0.5735,1.204,0.003632,0.001128,0.01344,0.002585
0.7096,3.384,0.006789,0.06446,0.03672,0.004394
2.293,4.021,0.01418,0.01267,0.02678,0.003002
1.059,4.061,0.01015,0.04983,0.01884,0.00866
17.53,65.12,0.1061,0.01768,0.191,0.06908
19.48,70.89,0.136,0.07162,0.2434,0.08488
1.475,4.782,0.006471,0.02806,0.0237,0.003755
27.78,118.6,0.1316,0.4589,0.3,0.08701
21.01,60.11,0.1044,0.02172,0.1717,0.06899
15.83,55.84,0.115,0.04132,0.1649,0.07633
19.73,96.03,0.08757,0.1362,0.1714,0.07192
2.542,1.277,0.01072,0.01993,0.01717,0.004492
18.35,77.32,0.09363,0.06636,0.1967,0.06314
14.07,71.24,0.07274,0.04505,0.169,0.06083
28.14,76.85,0.08752,0.02367,0.1854,0.05698
15.92,83.74,0.08677,0.04894,0.1778,0.06235
3.12,9.807,0.02333,0.1278,0.04547,0.009875
1.342,5.216,0.004428,0.0404,0.0203,0.002686
17.04,125,0.1531,0.583,0.3216,0.101
1.441,3.312,0.007514,0.007665,0.04183,0.005953
31.03,129.3,0.1415,0.7087,0.4824,0.09614
16.18,66.52,0.1061,0.06726,0.1743,0.07279
15.24,95.77,0.1132,0.09966,0.2116,0.06346
20.19,68.64,0.1122,0.06476,0.1922,0.07782
28.94,69.92,0.1126,0.01235,0.2349,0.08061
21.38,110,0.1121,0.1525,0.1995,0.0633
1.198,2.63,0.004952,0.02967,0.01152,0.001718
21.1,88.7,0.1384,0.102,0.2688,0.06888
19.12,61.93,0.1075,0.008934,0.2538,0.07029
18.02,78.31,0.09231,0.04392,0.1695,0.05916
23.33,119,0.09289,0.2136,0.1696,0.07369
16.67,74.72,0.1051,0.03592,0.1339,0.05945
22.22,79.85,0.1012,0.0537,0.1551,0.06761
2.836,5.383,0.01124,0.07469,0.02768,0.00624
25.94,97.59,0.1339,0.1381,0.2678,0.06603
17.36,76.2,0.1225,0.05929,0.2015,0.05875
18.1,61.06,0.08311,0.01479,0.168,0.06412
19.97,99.66,0.08484,0.1091,0.2542,0.06623
25.21,113.7,0.1426,0.3344,0.2736,0.07953
0.5293,1.164,0.006472,0.01282,0.01692,0.002817
0.6412,0.9219,0.005231,0.03113,0.01639,0.005701
22.75,91.99,0.1025,0.3308,0.2048,0.07628
13.72,85.79,0.08363,0.05077,0.1617,0.05594
0.8429,2.684,0.00638,0.01245,0.02292,0.001461
33.33,87.24,0.1041,0.05524,0.2404,0.06639
30.44,142,0.1251,0.3829,0.2576,0.07602
26.67,158.9,0.1141,0.3523,0.22,0.06229
27.85,92.55,0.08223,0.1103,0.1342,0.06129
19.93,88.81,0.1483,0.2241,0.338,0.09584
12.17,80.88,0.08785,0.0236,0.1583,0.06275
23.89,95.1,0.1282,0.1876,0.2235,0.06925
39.28,113.4,0.09812,0.1417,0.1809,0.05966
29.51,119.1,0.164,0.6922,0.2844,0.1132
21.43,121.4,0.1411,0.3355,0.3414,0.07147
13.08,70.87,0.09754,0.01982,0.183,0.06105
15.7,104.7,0.09427,0.05526,0.1711,0.05657
19.77,94.48,0.09752,0.09388,0.1879,0.0639
1.781,2.079,0.005888,0.02059,0.02578,0.002267
1.309,2.407,0.004426,0.03437,0.01675,0.004367
22.33,78.27,0.1028,0.1546,0.2955,0.07009
16.99,62.5,0.1037,0.04334,0.1584,0.07065
1.4,5.54,0.009037,0.05206,0.01778,0.004968
0.8745,1.393,0.005251,0.0184,0.01449,0.002671
31.73,113.5,0.134,0.404,0.3187,0.1023
23.84,82.69,0.1122,0.1128,0.1905,0.0659
24.7,129.1,0.08822,0.2535,0.2369,0.06558
0.8225,1.355,0.007416,0.02758,0.02348,0.002917
1.685,1.237,0.005371,0.01132,0.01719,0.001444
1.331,4.675,0.007269,0.04972,0.01852,0.004232
17.31,80.45,0.08928,0.03609,0.1526,0.06046
19.04,74.2,0.08546,0.05485,0.2031,0.06267
19.11,74.33,0.08814,0.01583,0.1936,0.06128
0.6068,1.443,0.004413,0.01509,0.01354,0.001787
23.12,94.37,0.1075,0.1981,0.2384,0.07542
25.47,107.1,0.0997,0.25,0.2852,0.09218
21.91,120.2,0.0943,0.1153,0.1692,0.05727
14.93,73.87,0.1013,0.04328,0.1883,0.06168
0.9899,1.778,0.008534,0.00618,0.01065,0.003351
28.12,119.4,0.1637,0.6956,0.4761,0.1402
29.02,88.18,0.08125,0.007977,0.2295,0.05843
23.19,96.08,0.1089,0.105,0.2346,0.08025
14.78,71.38,0.08306,0.0009737,0.1773,0.06081
15.15,88.27,0.08268,0.04249,0.1792,0.05897
28.39,108.1,0.1089,0.3779,0.2471,0.07463
1.027,1.719,0.007405,0.04588,0.01738,0.004435
21.25,89.79,0.0907,0.01462,0.1517,0.05835
20.28,87.32,0.1041,0.09847,0.1974,0.06782
0.4956,1.344,0.00329,0.01774,0.01172,0.002575
17.2,71.73,0.08915,0.09457,0.1489,0.0664
29.2,92.94,0.114,0.1212,0.2637,0.06658
1.093,3.014,0.009783,0.03483,0.02542,0.01045
0.9635,7.247,0.006428,0.04497,0.0159,0.003053
18.91,150.1,0.1478,0.3786,0.3751,0.1108
22.02,97.26,0.09056,0.05253,0.1616,0.05684
31.31,90.67,0.1227,0.3911,0.2826,0.09585
0.6864,1.509,0.003338,0.00203,0.0148,0.001566
21.58,101.2,0.1195,0.1117,0.2725,0.07234
15.98,89.78,0.08458,0.03534,0.1714,0.05898
1.065,1.286,0.003634,0.008268,0.01924,0.00152
29.33,140.1,0.1178,0.3514,0.2397,0.07016
20.53,92.41,0.08931,0.05063,0.1506,0.06009
1.656,1.955,0.01134,0.03125,0.01879,0.005348
15.49,56.74,0.08293,0.04721,0.193,0.06621
12.83,78.83,0.07372,0.007173,0.1613,0.06013
37.13,124.1,0.1678,0.7026,0.4218,0.1341
18.89,72.17,0.08713,0.02399,0.2013,0.05955
31.48,136.8,0.1789,0.4784,0.3706,0.1142
18.49,61.49,0.08946,0.02948,0.2238,0.06413
23.99,180.9,0.1696,0.5803,0.3222,0.08009
17.48,88.54,0.1298,0.05233,0.2369,0.06922
17.25,140.9,0.09384,0.1168,0.1717,0.05054
17.62,70.79,0.09687,0.05263,0.1619,0.06408
16.85,94.21,0.08641,0.05192,0.1409,0.05355
12.27,78.94,0.09003,0.02958,0.1689,0.05808
26.6,126.2,0.102,0.1921,0.1902,0.0622
21.39,84.42,0.1323,0.1521,0.2572,0.07097
19.83,100.3,0.1039,0.17,0.1855,0.06284
15.05,115,0.09847,0.09875,0.1739,0.06149
1.693,3.926,0.009433,0.04167,0.03397,0.005061
14.11,84.95,0.0876,0.1374,0.1596,0.06409
15.1,141.3,0.1001,0.1932,0.1973,0.06183
34.51,206,0.1481,0.582,0.3103,0.08677
1.326,2.308,0.007514,0.01401,0.01503,0.003338
1.892,7.128,0.008439,0.05904,0.0371,0.004286
21.72,93.63,0.09823,0.1319,0.1885,0.06125
18.17,82.69,0.1076,0.08017,0.1641,0.06854
24.54,70.76,0.1413,0.08423,0.2213,0.07842
31.47,128.2,0.124,0.1211,0.2452,0.06515
25.46,100.9,0.1351,0.4504,0.2563,0.08174
14.16,71.79,0.09379,0.001487,0.1954,0.05821
18.36,73.88,0.08508,0.03367,0.1516,0.05859
15.66,65.13,0.1324,0.08867,0.245,0.07773
32.68,177,0.1536,0.7892,0.3198,0.08762
1.798,2.552,0.006011,0.05175,0.02669,0.007731
0.9209,2.244,0.004766,0.02384,0.01772,0.003131
17.84,67.84,0.185,0.09996,0.3681,0.08982
13.06,81.29,0.08739,0.009193,0.1466,0.06133
25,127.7,0.1032,0.1655,0.1663,0.05391
19.27,87.22,0.1292,0.1791,0.311,0.07592
1.255,1.441,0.005969,0.02007,0.01972,0.002607
17,78.6,0.07557,0.01342,0.1472,0.05561
1.747,4.607,0.01307,0.006021,0.031,0.004225
1.39,3.198,0.006719,0.04387,0.01872,0.008015
14.93,70.67,0.07987,0.03546,0.2003,0.06246
2.043,2.132,0.01113,0.005308,0.01801,0.005667
18.19,73.93,0.09592,0.1548,0.2054,0.07669
1.962,1.243,0.01243,0.07753,0.02309,0.01178
0.4402,2.393,0.005501,0.08158,0.01266,0.007555
19.34,61.05,0.08491,0.02337,0.158,0.06235
20.11,109.3,0.09831,0.1793,0.1794,0.06323
23.93,74.52,0.09261,0.1112,0.1388,0.0657
36.71,149.3,0.1641,0.6335,0.4027,0.09876
13.27,88.06,0.09198,0.01063,0.1592,0.05912
22.65,65.5,0.1482,1.252,0.4228,0.1175
27.24,137.9,0.1134,0.2298,0.3067,0.07484
26.56,127.3,0.1009,0.2477,0.4677,0.07623
0.8413,2.075,0.009882,0.04531,0.02471,0.002142
24.34,92.82,0.1276,0.2028,0.3035,0.07661
13.37,82.29,0.08794,0.04052,0.1601,0.0614
21.8,79.78,0.08772,0.06015,0.193,0.06404
12.88,90.03,0.09309,0.01765,0.1373,0.057
15.79,90.43,0.1007,0.07789,0.1662,0.06566
27.68,152.2,0.1398,0.3157,0.3695,0.08579
33.81,160,0.1278,0.3703,0.3271,0.07632
16.82,90.3,0.06429,0.00725,0.1508,0.05376
33.81,70.79,0.0778,0.004967,0.1845,0.05828
28.18,195.9,0.1272,0.5807,0.2833,0.08858
15.18,93.97,0.0997,0.08487,0.1724,0.06081
0.8098,2.563,0.006351,0.03119,0.02062,0.002695
1.15,2.735,0.003659,0.02572,0.01817,0.004108
22.81,84.46,0.09701,0.04833,0.1987,0.06169
16.67,152.2,0.1374,0.4,0.2364,0.07678
24.38,95.14,0.1214,0.07127,0.3313,0.07735
0.6683,1.612,0.005756,0.01461,0.01551,0.002168
23.21,89.71,0.1176,0.1703,0.2618,0.07609
1.918,3.564,0.008263,0.01277,0.02466,0.002977
