,Fruits & vegetables,Meat,Milk products,Canned vegetables,Canned meat,Frozen goods,Beer,Wine,Soda drinks,Fish,Textile
469,Yes,Yes,No,No,No,No,No,Yes,No,No,No
470,No,No,Yes,No,No,Yes,Yes,No,No,No,No
471,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes
472,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes
473,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
474,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No
475,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No
476,No,No,No,No,No,No,No,No,No,No,Yes
477,No,Yes,No,No,No,No,Yes,Yes,No,No,No
478,No,No,Yes,No,No,No,No,No,No,No,No
479,No,No,No,No,No,No,No,No,No,Yes,No
480,Yes,No,No,No,No,Yes,No,No,No,Yes,No
481,No,No,No,No,Yes,Yes,No,No,No,No,No
482,No,No,Yes,No,Yes,No,No,No,No,No,No
483,Yes,No,No,No,Yes,No,No,No,No,Yes,No
484,No,No,No,No,No,No,Yes,No,No,No,No
485,No,No,No,No,No,No,No,No,Yes,No,Yes
486,No,No,No,No,Yes,No,No,No,Yes,No,Yes
487,No,No,No,Yes,No,No,No,Yes,No,No,No
488,No,No,No,No,No,No,No,No,Yes,No,No
489,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No
490,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes
491,No,No,No,No,No,No,Yes,Yes,No,No,Yes
492,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No
493,No,No,No,Yes,No,Yes,No,Yes,No,No,No
494,No,No,No,Yes,No,Yes,Yes,No,No,No,No
495,No,No,No,No,Yes,Yes,No,No,No,Yes,No
496,Yes,No,Yes,No,No,No,No,No,Yes,No,No
497,No,No,No,Yes,No,Yes,Yes,No,No,No,No
498,No,No,No,No,No,No,No,No,No,No,Yes
499,No,No,No,No,No,No,No,Yes,Yes,No,No
500,Yes,No,Yes,No,No,No,No,No,No,No,No
501,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes
502,No,No,No,No,No,No,No,No,No,No,No
503,No,No,No,Yes,No,No,No,No,No,No,Yes
504,Yes,Yes,Yes,No,No,No,No,No,No,No,No
505,No,No,No,No,No,No,No,No,Yes,No,No
506,No,Yes,Yes,No,No,No,No,No,No,No,No
507,No,Yes,No,No,No,No,No,No,No,No,No
508,No,No,No,No,No,No,No,Yes,No,No,Yes
509,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
510,No,No,No,No,Yes,No,No,No,Yes,Yes,No
511,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes
512,No,No,No,No,No,No,Yes,No,No,No,No
513,No,No,No,Yes,No,No,No,No,No,No,No
514,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No
515,No,Yes,No,No,No,No,No,No,No,No,Yes
516,No,No,No,No,No,No,No,No,No,No,No
517,No,No,No,No,No,No,No,No,No,Yes,No
518,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes
519,Yes,No,No,Yes,No,No,No,Yes,No,No,No
520,No,Yes,No,No,Yes,No,No,No,No,No,No
521,No,No,Yes,No,No,No,Yes,No,No,No,No
522,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
523,No,No,No,No,No,No,No,No,No,Yes,No
524,No,No,No,No,No,No,No,Yes,No,No,No
525,Yes,No,No,Yes,No,No,No,No,No,Yes,No
526,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No
527,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No
528,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No
529,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes
530,No,No,No,No,No,Yes,No,No,No,No,No
531,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No
532,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No
533,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes
534,No,No,No,No,No,No,No,Yes,No,Yes,No
535,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No
536,Yes,No,No,Yes,No,No,No,No,No,No,No
537,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No
538,No,No,No,No,Yes,No,No,No,No,Yes,No
539,No,Yes,No,No,No,No,No,No,No,No,No
540,No,Yes,No,Yes,No,No,Yes,No,No,No,No
541,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No
542,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes
543,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No
544,Yes,No,No,No,No,No,No,No,No,No,Yes
545,No,No,No,No,No,No,No,Yes,No,No,No
546,No,No,No,Yes,No,No,No,Yes,No,No,Yes
547,No,Yes,No,No,No,No,No,Yes,No,No,No
548,No,No,No,No,No,No,No,Yes,No,No,Yes
549,No,No,No,No,No,No,No,Yes,Yes,No,Yes
550,No,Yes,No,No,No,Yes,No,No,No,No,No
551,No,Yes,No,No,Yes,No,No,No,No,No,No
552,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes
553,No,No,Yes,Yes,No,No,No,No,Yes,No,No
554,No,No,No,Yes,No,Yes,Yes,No,No,No,No
555,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
556,No,No,No,No,No,No,No,No,No,No,No
557,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
558,No,No,No,No,No,No,No,Yes,No,No,No
559,No,No,Yes,No,No,No,No,No,Yes,No,No
560,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No
561,No,No,No,No,No,No,No,No,Yes,Yes,Yes
562,Yes,No,No,No,Yes,No,No,No,No,No,Yes
563,No,No,No,No,No,No,No,Yes,No,No,No
564,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
565,No,No,No,No,No,No,No,No,No,No,No
566,Yes,No,Yes,No,No,No,No,No,No,Yes,No
567,No,No,No,Yes,No,No,No,Yes,No,Yes,No
568,No,No,No,No,Yes,No,No,No,No,No,No
569,No,No,Yes,No,Yes,No,No,No,No,No,No
570,No,Yes,No,No,No,No,No,No,No,No,No
571,No,No,No,No,No,No,Yes,No,No,Yes,Yes
572,No,No,No,Yes,No,Yes,Yes,No,No,No,No
573,No,Yes,No,No,No,Yes,No,No,Yes,No,No
574,Yes,Yes,No,No,No,No,No,No,Yes,No,No
575,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes
576,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No
577,No,Yes,No,No,No,No,No,No,Yes,No,No
578,No,Yes,No,No,No,No,No,No,No,No,No
579,No,No,No,No,No,No,No,No,No,No,No
580,No,No,No,No,No,No,No,No,No,No,No
581,No,No,No,No,No,Yes,No,No,No,Yes,No
582,Yes,No,No,No,No,Yes,No,No,No,No,No
583,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes
584,No,No,No,No,No,No,No,Yes,No,No,No
585,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes
586,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes
587,No,No,No,No,Yes,No,No,No,No,Yes,No
588,No,No,Yes,No,No,No,No,Yes,No,No,Yes
589,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes
590,No,Yes,Yes,No,No,Yes,No,No,No,No,No
591,No,No,Yes,No,No,No,No,No,No,No,No
592,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
593,No,No,No,No,No,Yes,No,No,Yes,No,No
594,No,No,No,Yes,No,No,No,No,No,No,No
595,No,No,No,Yes,No,No,No,Yes,No,No,No
596,No,Yes,No,No,No,No,No,No,No,No,No
597,No,No,No,No,No,Yes,No,No,No,Yes,No
598,No,No,Yes,No,No,No,No,No,No,No,No
599,No,No,No,Yes,No,Yes,Yes,No,No,No,No
600,No,No,No,No,No,No,Yes,Yes,No,No,No
601,No,No,No,No,No,No,Yes,No,No,No,No
602,No,No,No,No,No,Yes,No,No,Yes,No,Yes
603,Yes,No,No,No,No,No,Yes,No,No,Yes,No
604,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
605,Yes,No,No,No,No,No,No,No,No,No,No
606,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes
607,No,No,No,No,No,No,No,No,Yes,No,No
608,Yes,No,No,No,No,No,No,No,No,No,No
609,Yes,No,No,No,No,No,No,No,No,Yes,No
610,No,No,Yes,No,No,No,No,No,No,No,No
611,Yes,No,Yes,No,Yes,No,No,No,No,No,No
612,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes
613,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No
614,No,No,No,No,No,No,No,No,No,No,No
615,Yes,Yes,No,No,No,No,Yes,No,No,No,No
616,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
617,No,No,No,Yes,No,No,No,No,No,No,No
618,Yes,No,No,No,No,No,Yes,No,No,No,No
619,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
620,Yes,No,No,No,No,No,Yes,No,No,No,No
621,No,No,No,No,Yes,No,Yes,No,Yes,No,No
622,No,No,No,Yes,Yes,No,No,No,No,No,No
623,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes
624,No,Yes,No,No,Yes,No,No,No,No,No,No
625,No,No,No,No,No,No,No,Yes,No,Yes,Yes
626,No,No,No,No,Yes,No,No,Yes,No,No,Yes
627,No,No,No,Yes,No,No,No,No,No,No,No
628,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes
629,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No
630,No,No,No,No,No,No,No,Yes,No,No,Yes
631,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No
632,Yes,No,No,No,No,No,No,No,No,No,Yes
633,No,No,No,No,Yes,No,No,No,Yes,Yes,No
634,No,No,No,No,No,No,No,Yes,No,No,No
635,No,No,Yes,No,No,No,Yes,No,No,Yes,No
636,No,No,No,No,No,No,No,No,No,No,No
637,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes
638,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes
639,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No
640,No,Yes,No,No,No,Yes,No,No,No,No,No
641,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes
642,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes
643,No,No,No,No,No,No,No,Yes,No,No,Yes
644,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No
645,No,No,No,Yes,Yes,No,Yes,No,No,No,No
646,No,No,No,No,No,No,No,No,No,No,No
647,Yes,No,No,No,No,No,No,No,No,Yes,No
648,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No
649,No,Yes,No,No,Yes,No,No,No,No,No,No
650,No,Yes,No,Yes,No,No,No,Yes,No,No,No
651,No,No,No,No,No,No,No,Yes,No,No,No
652,No,No,No,No,No,No,No,No,No,No,No
653,No,No,Yes,No,Yes,Yes,No,No,No,No,No
654,No,No,No,No,No,No,No,No,No,Yes,No
655,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No
656,Yes,No,No,No,No,No,No,No,No,Yes,No
657,No,Yes,No,No,No,No,No,Yes,No,No,No
658,No,No,No,No,No,No,No,No,No,Yes,No
659,No,Yes,Yes,No,No,No,No,Yes,No,No,No
660,No,No,No,No,No,No,No,Yes,No,No,No
661,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes
662,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No
663,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No
664,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
665,No,No,No,No,No,No,No,No,No,Yes,No
666,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No
667,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No
668,No,Yes,No,No,No,No,No,Yes,No,No,Yes
669,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
670,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes
671,No,No,No,Yes,Yes,No,No,Yes,No,No,No
672,Yes,No,No,No,No,No,No,No,No,No,No
673,No,No,No,No,No,No,No,No,No,Yes,No
674,No,No,No,No,No,No,No,Yes,No,No,Yes
675,No,Yes,No,No,No,No,Yes,No,No,Yes,No
676,No,No,Yes,No,No,No,No,No,No,Yes,No
677,No,No,No,No,No,No,No,Yes,No,No,Yes
678,Yes,No,No,No,Yes,No,No,No,No,No,No
679,No,No,No,No,No,No,No,Yes,No,No,Yes
680,Yes,No,No,No,No,No,No,Yes,No,Yes,No
681,No,No,No,No,Yes,No,No,No,No,No,No
682,Yes,No,No,No,No,No,No,No,No,No,No
683,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
684,No,Yes,No,No,Yes,No,No,No,No,No,No
685,No,No,No,Yes,No,No,No,Yes,No,No,No
686,No,No,No,No,No,Yes,No,No,Yes,No,No
687,No,No,Yes,No,No,No,No,No,No,No,No
688,No,Yes,No,No,No,No,No,Yes,Yes,No,No
689,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No
690,Yes,Yes,No,No,No,Yes,No,No,No,No,No
691,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes
692,No,Yes,No,No,Yes,Yes,No,No,No,No,No
693,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No
694,No,No,No,Yes,No,No,No,Yes,No,Yes,No
695,No,No,No,No,Yes,Yes,No,No,No,Yes,No
696,No,No,Yes,No,No,No,No,Yes,No,No,Yes
697,No,No,No,No,No,No,No,No,No,Yes,No
698,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No
699,Yes,No,No,Yes,No,No,No,No,No,Yes,No
700,No,No,No,No,No,No,No,Yes,No,Yes,Yes
701,No,No,No,No,No,No,No,No,No,Yes,No
702,No,No,No,Yes,No,No,No,No,No,No,Yes
703,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes
704,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No
705,No,No,No,No,Yes,No,No,No,No,No,No
706,No,No,No,No,Yes,Yes,No,No,No,No,No
707,No,No,No,No,Yes,No,Yes,No,Yes,No,No
708,No,No,Yes,No,No,No,No,No,No,No,No
709,No,No,No,Yes,Yes,No,No,No,No,Yes,No
710,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No
711,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No
712,Yes,No,No,No,No,No,No,No,No,Yes,No
713,No,No,No,No,No,Yes,No,No,No,Yes,No
714,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No
715,No,No,Yes,No,No,No,No,No,No,Yes,No
716,No,No,No,No,No,No,No,No,No,No,No
717,No,No,No,No,No,No,No,No,No,No,No
718,No,No,No,Yes,No,No,Yes,No,No,No,No
719,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
720,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
721,No,No,No,No,No,No,No,No,No,Yes,No
722,No,No,No,No,No,No,No,No,No,No,No
723,No,No,No,No,No,No,No,Yes,No,Yes,Yes
724,No,No,No,Yes,No,No,No,No,No,No,No
725,No,Yes,No,Yes,No,No,No,No,No,No,No
726,No,No,No,No,No,Yes,No,Yes,Yes,No,No
727,No,No,No,No,No,No,Yes,Yes,No,Yes,No
728,No,No,No,No,Yes,No,No,No,No,Yes,No
729,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
730,No,No,No,Yes,No,Yes,No,No,No,No,No
731,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No
732,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes
733,No,No,No,No,No,Yes,No,No,No,No,No
734,No,No,No,No,No,No,No,No,No,Yes,No
735,No,No,No,Yes,No,No,Yes,No,No,Yes,No
736,No,No,No,No,No,Yes,Yes,No,No,No,No
737,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
738,No,No,No,Yes,No,No,No,No,No,No,No
739,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes
740,No,No,No,Yes,No,Yes,Yes,No,No,No,No
741,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
742,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No
743,No,No,Yes,No,No,No,No,No,No,Yes,Yes
744,No,No,No,No,Yes,No,No,Yes,No,No,Yes
745,Yes,No,No,No,No,No,No,Yes,No,No,No
746,Yes,No,No,No,No,No,No,No,Yes,No,No
747,No,No,No,No,No,No,No,Yes,No,Yes,Yes
748,No,No,No,No,No,No,No,No,Yes,No,No
749,No,Yes,No,No,No,No,No,No,Yes,No,No
750,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No
751,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
752,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
753,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
754,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No
755,No,No,No,No,Yes,No,No,Yes,No,No,Yes
756,No,No,No,Yes,Yes,No,No,No,No,No,No
757,No,No,No,No,No,No,No,Yes,No,Yes,No
758,No,No,No,No,No,No,No,No,No,Yes,No
759,No,No,No,No,No,No,Yes,No,Yes,No,No
760,No,No,No,No,No,No,No,Yes,No,No,Yes
761,No,No,No,No,No,No,No,No,No,No,Yes
762,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No
763,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes
764,No,Yes,No,No,No,No,No,No,No,Yes,No
765,No,No,No,No,No,Yes,Yes,No,No,No,No
766,Yes,No,No,No,No,No,No,No,No,No,No
767,No,No,No,No,No,No,No,Yes,Yes,No,No
768,No,Yes,Yes,No,No,No,No,Yes,No,No,No
769,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No
770,No,No,No,No,No,No,No,Yes,Yes,No,Yes
771,No,No,No,No,No,No,Yes,No,No,No,No
772,No,No,No,Yes,No,No,No,No,No,No,No
773,No,No,Yes,No,No,No,No,No,No,No,No
774,No,No,Yes,No,No,No,No,No,No,No,Yes
775,No,No,No,Yes,No,Yes,No,No,Yes,No,No
776,No,No,No,No,No,No,No,No,No,No,No
777,No,No,No,No,Yes,No,No,No,No,No,No
778,Yes,No,No,No,No,No,No,No,No,No,No
779,No,No,No,No,No,No,Yes,Yes,Yes,No,No
780,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes
781,Yes,No,No,No,No,No,Yes,Yes,No,No,No
782,Yes,No,No,No,No,No,No,Yes,Yes,No,No
783,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No
784,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
785,No,No,No,No,No,No,Yes,No,No,No,No
786,No,Yes,No,No,No,Yes,No,No,No,No,No
787,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes
788,No,No,No,No,Yes,No,No,No,No,Yes,No
789,No,No,No,No,No,No,Yes,No,No,No,Yes
790,No,No,No,No,No,No,No,Yes,Yes,No,No
791,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
792,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
793,No,No,No,No,No,No,No,No,No,No,No
794,No,No,No,No,No,No,Yes,No,No,No,Yes
795,No,Yes,Yes,No,No,No,No,No,No,No,Yes
796,No,No,No,No,Yes,No,No,Yes,No,No,Yes
797,No,No,No,No,No,No,No,No,No,No,No
798,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes
799,No,No,Yes,No,No,No,No,No,No,No,No
800,No,No,No,No,No,No,No,Yes,No,No,No
801,No,No,Yes,No,No,No,No,No,No,Yes,No
802,No,No,No,No,No,No,No,No,No,No,No
803,No,No,No,No,No,No,Yes,No,Yes,No,No
804,No,Yes,Yes,No,Yes,No,No,No,No,No,No
805,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
806,Yes,No,No,No,No,No,Yes,No,No,No,No
807,Yes,No,No,Yes,No,No,No,No,Yes,No,No
808,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes
809,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No
810,No,No,No,No,No,No,No,No,No,Yes,No
811,No,No,No,No,No,No,Yes,No,No,No,No
812,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
813,No,No,Yes,Yes,No,No,Yes,No,No,No,No
814,No,No,No,No,No,Yes,No,No,No,No,No
815,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes
816,Yes,No,No,No,No,No,No,No,Yes,Yes,No
817,No,Yes,No,No,No,No,No,No,Yes,No,No
818,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes
819,No,Yes,No,No,No,Yes,No,No,No,No,Yes
820,Yes,No,No,No,No,No,No,No,No,Yes,No
821,No,No,No,No,No,No,Yes,No,No,No,No
822,No,No,No,Yes,No,Yes,Yes,No,No,No,No
823,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
824,No,No,No,No,No,No,No,Yes,No,No,Yes
825,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No
826,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes
827,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes
828,No,No,No,No,No,No,No,No,No,No,No
829,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
830,No,No,No,Yes,No,Yes,Yes,No,No,No,No
831,No,Yes,No,No,No,No,No,No,No,No,No
832,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No
833,No,No,No,No,No,Yes,No,No,No,No,No
834,Yes,No,No,No,Yes,No,Yes,No,No,No,No
835,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes
836,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes
837,No,Yes,No,No,No,No,No,No,No,No,No
838,Yes,No,No,Yes,No,No,No,No,No,No,No
839,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes
840,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes
841,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes
842,No,No,No,No,No,No,No,Yes,No,No,No
843,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes
844,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes
845,No,No,Yes,No,No,No,No,No,No,No,Yes
846,No,No,Yes,No,No,No,No,Yes,No,No,Yes
847,Yes,No,Yes,Yes,No,No,No,No,No,No,No
848,No,No,No,No,Yes,Yes,No,No,No,No,Yes
849,No,No,No,No,Yes,No,No,Yes,No,No,No
850,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No
851,No,No,No,Yes,No,No,Yes,No,No,No,No
852,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No
853,Yes,No,Yes,No,No,No,No,No,No,Yes,No
854,No,No,No,No,Yes,No,No,No,No,No,No
855,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
856,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No
857,No,No,No,No,Yes,Yes,Yes,No,No,No,No
858,No,No,No,No,No,No,No,No,No,No,No
859,No,No,No,Yes,No,Yes,No,No,No,No,No
860,No,No,No,No,No,No,No,No,Yes,No,No
861,Yes,No,No,No,No,No,No,No,No,No,Yes
862,No,No,No,Yes,No,Yes,Yes,No,No,No,No
863,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
864,No,No,No,No,Yes,No,Yes,No,No,No,No
865,No,No,No,No,No,No,No,Yes,No,No,Yes
866,Yes,No,No,No,No,No,No,No,Yes,No,Yes
867,No,No,No,No,No,No,Yes,No,Yes,No,No
868,No,No,No,No,No,No,No,No,Yes,No,Yes
869,No,Yes,No,Yes,No,No,No,No,Yes,No,No
870,No,No,No,No,Yes,No,No,Yes,No,No,Yes
871,No,No,No,No,No,No,Yes,No,No,Yes,No
872,No,No,No,No,Yes,No,Yes,No,No,Yes,No
873,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No
874,No,No,No,No,No,No,No,No,No,No,No
875,No,No,No,No,No,No,Yes,No,No,No,No
876,No,No,Yes,No,No,No,No,No,Yes,No,No
877,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No
878,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No
879,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No
880,Yes,No,No,No,No,No,No,No,No,No,No
881,No,No,Yes,Yes,No,No,No,No,No,No,No
882,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No
883,Yes,No,Yes,No,No,No,No,No,No,Yes,No
884,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
885,No,No,No,No,No,No,No,No,No,No,No
886,No,No,No,Yes,No,No,No,No,No,No,No
887,Yes,No,No,No,No,No,No,Yes,No,No,No
888,No,No,Yes,No,No,No,No,No,No,No,No
889,No,No,No,No,No,Yes,No,No,Yes,No,No
890,Yes,No,No,No,Yes,Yes,No,No,No,No,No
891,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No
892,No,No,No,No,No,No,Yes,No,No,No,Yes
893,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
894,No,No,No,No,No,No,Yes,No,No,No,No
895,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes
896,No,No,No,No,No,No,No,Yes,No,No,Yes
897,No,Yes,No,No,No,No,No,No,Yes,No,No
898,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes
899,No,Yes,No,No,No,Yes,No,No,No,No,Yes
900,No,No,No,No,No,No,No,Yes,No,No,No
901,No,No,No,No,Yes,No,No,No,No,No,No
902,No,No,No,No,No,No,No,No,No,No,No
903,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No
904,No,Yes,No,No,No,No,No,No,No,Yes,No
905,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No
906,Yes,No,No,No,No,Yes,No,No,No,No,No
907,No,No,Yes,No,No,No,No,No,No,No,No
908,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
909,Yes,No,No,Yes,No,Yes,No,No,No,No,No
910,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No
911,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
912,No,No,No,Yes,No,No,No,No,No,Yes,Yes
913,No,No,No,No,No,No,No,No,No,No,No
914,No,No,No,Yes,Yes,No,Yes,No,No,No,No
915,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
916,Yes,Yes,No,No,No,No,No,Yes,No,No,No
917,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
918,No,Yes,No,No,No,No,No,No,No,Yes,No
919,Yes,No,No,No,No,No,No,No,No,Yes,No
920,No,No,Yes,No,No,No,No,No,No,Yes,No
921,No,No,No,No,No,No,Yes,Yes,No,No,Yes
922,Yes,No,No,No,No,Yes,No,No,No,No,Yes
923,No,No,No,Yes,No,Yes,No,Yes,No,No,No
924,No,Yes,No,No,No,No,No,No,No,No,No
925,No,No,Yes,No,No,No,No,Yes,No,No,No
926,No,No,No,No,No,No,No,No,Yes,No,No
927,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
928,Yes,No,Yes,No,No,No,No,No,No,Yes,No
929,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes
930,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes
931,No,No,No,No,No,Yes,Yes,No,No,No,Yes
932,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes
933,Yes,No,No,No,Yes,Yes,No,No,No,No,No
934,No,No,No,No,Yes,Yes,Yes,No,No,No,No
935,No,No,No,Yes,No,Yes,No,No,No,No,No
936,Yes,No,No,Yes,No,No,No,No,No,No,No
937,Yes,No,No,No,No,No,No,No,Yes,Yes,No
938,No,No,No,No,No,Yes,Yes,No,No,No,Yes
